행정구역,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율
전국,51370001 ,23900917 ,2 ,25592335 ,25777666 ,1 
서울특별시 ,9407540 ,4475726 ,2 ,4552501 ,4855039 ,1 
부산광역시,3300836 ,1565115 ,2 ,1609650 ,1691186 ,1 
대구광역시,2377801 ,1092536 ,2 ,1168679 ,1209122 ,1 
인천광역시,2987918 ,1344029 ,2 ,1494725 ,1493193 ,1 
광주광역시,1422999 ,656061 ,2 ,702748 ,720251 ,1 
대전광역시,1444595 ,680653 ,2 ,720520 ,724075 ,1 
울산광역시,1104167 ,489298 ,2 ,567314 ,536853 ,1 
세종특별자치시,385932 ,160479 ,2 ,192246 ,193686 ,1 
경기도,13626339 ,5969573 ,2 ,6855626 ,6770713 ,1 
강원특별자치도,1530712 ,760903 ,2 ,770130 ,760582 ,1 
충청북도,1594326 ,779770 ,2 ,810835 ,783491 ,1 
충청남도,2127630 ,1032336 ,2 ,1089884 ,1037746 ,1 
전라북도,1758661 ,861647 ,2 ,875353 ,883308 ,1 
전라남도,1807295 ,912090 ,2 ,910810 ,896485 ,1 
경상북도,2559924 ,1282575 ,2 ,1292868 ,1267056 ,1 
경상남도,3257009 ,1524861 ,2 ,1639932 ,1617077 ,1 
제주특별자치도,676317 ,313265 ,2 ,338514 ,337803 ,1 
